,Code,Year,Value,Value (TWh)
6866,GTM,2006-01-01,9.181,106.77503
6867,GTM,2007-01-01,9.836,114.39268000000001
6868,GTM,2008-01-01,9.571,111.31073
6869,GTM,2009-01-01,10.255,119.26565000000002
6870,GTM,2010-01-01,10.355,120.42865000000002
6871,GTM,2011-01-01,10.567,122.89421000000002
6872,GTM,2012-01-01,11.078,128.83714
6873,GTM,2013-01-01,11.372,132.25636
6874,GTM,2014-01-01,11.861,137.94343
6875,GTM,2015-01-01,12.575,146.24725
6876,GTM,2016-01-01,13.561,157.71443000000002
6877,GTM,2017-01-01,13.57,157.81910000000002
6878,GTM,2018-01-01,14.046,163.35498
6879,GTM,2019-01-01,14.565,169.39095
6880,GTM,2020-01-01,14.299,166.29737
6881,GTM,2021-01-01,0.0,0.0
6882,HND,1960-01-01,0.0,0.0
6883,HND,1961-01-01,0.0,0.0
6884,HND,1962-01-01,0.0,0.0
6885,HND,1963-01-01,0.0,0.0
6886,HND,1964-01-01,0.0,0.0
6887,HND,1965-01-01,0.0,0.0
6888,HND,1966-01-01,0.0,0.0
6889,HND,1967-01-01,0.0,0.0
6890,HND,1968-01-01,0.0,0.0
6891,HND,1969-01-01,0.0,0.0
6892,HND,1970-01-01,0.0,0.0
6893,HND,1971-01-01,1.389,16.15407
6894,HND,1972-01-01,1.421,16.52623
6895,HND,1973-01-01,1.475,17.15425
6896,HND,1974-01-01,1.498,17.42174
6897,HND,1975-01-01,1.54,17.910200000000003
6898,HND,1976-01-01,1.602,18.63126
6899,HND,1977-01-01,1.695,19.712850000000003
6900,HND,1978-01-01,1.739,20.224570000000003
6901,HND,1979-01-01,1.798,20.91074
6902,HND,1980-01-01,1.871,21.75973
6903,HND,1981-01-01,1.86,21.631800000000002
6904,HND,1982-01-01,2.013,23.41119
6905,HND,1983-01-01,1.974,22.957620000000002
6906,HND,1984-01-01,2.019,23.480970000000003
6907,HND,1985-01-01,2.001,23.271630000000002
6908,HND,1986-01-01,2.054,23.88802
6909,HND,1987-01-01,2.165,25.17895
6910,HND,1988-01-01,2.268,26.376839999999998
6911,HND,1989-01-01,2.362,27.470060000000004
6912,HND,1990-01-01,2.38,27.6794
6913,HND,1991-01-01,2.401,27.92363
6914,HND,1992-01-01,2.504,29.12152
6915,HND,1993-01-01,2.559,29.761170000000003
6916,HND,1994-01-01,2.656,30.889280000000003
6917,HND,1995-01-01,2.824,32.84312
6918,HND,1996-01-01,2.836,32.98268
6919,HND,1997-01-01,3.098,36.029740000000004
6920,HND,1998-01-01,3.326,38.681380000000004
6921,HND,1999-01-01,3.01,35.0063
6922,HND,2000-01-01,3.001,34.901630000000004
6923,HND,2001-01-01,3.237,37.64631000000001
6924,HND,2002-01-01,3.391,39.43733
6925,HND,2003-01-01,3.683,42.83329
6926,HND,2004-01-01,3.992,46.42696
6927,HND,2005-01-01,3.958,46.03154000000001
6928,HND,2006-01-01,4.317,50.20671000000001
6929,HND,2007-01-01,4.619,53.71897
6930,HND,2008-01-01,4.692,54.56796000000001
6931,HND,2009-01-01,4.634,53.893420000000006
6932,HND,2010-01-01,4.7,54.66100000000001
6933,HND,2011-01-01,5.188,60.33644
6934,HND,2012-01-01,5.327,61.953010000000006
6935,HND,2013-01-01,5.36,62.33680000000001
6936,HND,2014-01-01,5.467,63.58121
6937,HND,2015-01-01,5.951,69.21013
6938,HND,2016-01-01,5.979,69.53577
6939,HND,2017-01-01,5.133,59.69679000000001
6940,HND,2018-01-01,5.469,63.604470000000006
6941,HND,2019-01-01,5.803,67.48889
6942,HND,2020-01-01,5.35,62.2205
6943,HND,2021-01-01,0.0,0.0
6944,IRQ,1960-01-01,0.0,0.0
6945,IRQ,1961-01-01,0.0,0.0
6946,IRQ,1962-01-01,0.0,0.0
6947,IRQ,1963-01-01,0.0,0.0
6948,IRQ,1964-01-01,0.0,0.0
6949,IRQ,1965-01-01,0.0,0.0
6950,IRQ,1966-01-01,0.0,0.0
6951,IRQ,1967-01-01,0.0,0.0
6952,IRQ,1968-01-01,0.0,0.0
6953,IRQ,1969-01-01,0.0,0.0
6954,IRQ,1970-01-01,0.0,0.0
6955,IRQ,1971-01-01,4.016,46.70608
6956,IRQ,1972-01-01,4.288,49.869440000000004
6957,IRQ,1973-01-01,4.653,54.11439
6958,IRQ,1974-01-01,5.059,58.83617
6959,IRQ,1975-01-01,6.09,70.8267
6960,IRQ,1976-01-01,7.538,87.66694000000001
6961,IRQ,1977-01-01,7.795,90.65585
6962,IRQ,1978-01-01,8.883,103.30928999999999
6963,IRQ,1979-01-01,10.591,123.17333
6964,IRQ,1980-01-01,9.723,113.07849000000002
6965,IRQ,1981-01-01,9.617,111.84571000000001
6966,IRQ,1982-01-01,9.967,115.91621000000002
6967,IRQ,1983-01-01,12.016,139.74608
6968,IRQ,1984-01-01,12.707,147.78241000000003
6969,IRQ,1985-01-01,14.72,171.19360000000003
6970,IRQ,1986-01-01,15.917,185.11471
6971,IRQ,1987-01-01,15.801,183.76563000000002
6972,IRQ,1988-01-01,19.053,221.58639000000002
6973,IRQ,1989-01-01,20.992,244.13696000000002
6974,IRQ,1990-01-01,20.044,233.11172000000002
6975,IRQ,1991-01-01,15.956,185.56828000000002
6976,IRQ,1992-01-01,23.707,275.71241000000003
6977,IRQ,1993-01-01,29.894,347.66722
6978,IRQ,1994-01-01,34.0,395.42
6979,IRQ,1995-01-01,32.919,382.84797
6980,IRQ,1996-01-01,31.752,369.27576
6981,IRQ,1997-01-01,38.401,446.60363000000007
6982,IRQ,1998-01-01,29.138,338.87494000000004
6983,IRQ,1999-01-01,22.676,263.72188
6984,IRQ,2000-01-01,26.635,309.76505000000003
6985,IRQ,2001-01-01,29.832,346.94616
6986,IRQ,2002-01-01,28.425,330.58275000000003
6987,IRQ,2003-01-01,25.182,292.86666
6988,IRQ,2004-01-01,27.033,314.39379
6989,IRQ,2005-01-01,26.966,313.61458000000005
6990,IRQ,2006-01-01,26.218,304.91534
6991,IRQ,2007-01-01,25.812,300.19356000000005
6992,IRQ,2008-01-01,27.879,324.23277
6993,IRQ,2009-01-01,29.931,348.09753
6994,IRQ,2010-01-01,33.038,384.23194
6995,IRQ,2011-01-01,36.194,420.93622000000005
6996,IRQ,2012-01-01,40.05,465.7815
6997,IRQ,2013-01-01,41.486,482.48217999999997
6998,IRQ,2014-01-01,39.573,460.23399000000006
6999,IRQ,2015-01-01,37.499,436.11337000000003
7000,IRQ,2016-01-01,40.328,469.01464000000004
